Key,Comment,Japanese,English
Chapter 4-1,注釈,,
Dialog.Chapter4-1-1,執務室,清藤エレナが財団に捕獲された翌日、聖月生徒会は混乱に陥っていた,"The day after Seidō Erena was captured by the Foundation, the Seigetsu Student Council was in turmoil"
,,,
Dialog.Chapter4-1-2,女生徒1,「清藤エレナが財団に襲撃されて敗北し、連れ去られた……！？」,"""Erena Seidō was attacked, defeated and taken away by the Foundation: ......!"""
,,,
Dialog.Chapter4-1-3,女生徒2,「そんなっ！？ありえないっ！あれだけ強いエレナ先輩が！？」,What? That's impossible! Erena―senpai is that strong!
,,,
Dialog.Chapter4-1-4,女生徒3,「皆さん落ち着いてっ！まずは状況を把握するところから――――――」,"I'll tell you what, everyone calm down! We'll start by taking stock of the situation: ――――――"""
,暗転,,
Dialog.Chapter4-1-5,アジト,―――――財団アジトにて,At ――――― Foundation Hideout
,,,
Dialog.Chapter4-1-6,005号(通信),「清藤エレナが行方不明となり、予想通り生徒会は大混乱となっています」,"As expected, the student council is in turmoil after Erena Seidō went missing."
,,,
Dialog.Chapter4-1-7,,「今日は我々に対する大規模攻撃が行われる予定でしたが、統制が取れないため中止となりました」,"A major attack against us was supposed to take place today, but it was canceled due to lack of control."
,,,
Dialog.Chapter4-1-7(1),選択肢,……よくやった,Well done ......
,,,
Dialog.Chapter4-1-8,005号,「ありがとうございます。これで我々の目的、世界征服に大きく近づきました」,"Thank you very much. Now we are much closer to our goal, world domination."""
,,,
Dialog.Chapter4-1-9,,「生徒会は清藤エレナ個人の力に大きく依存していたので、しばらく行動は制限されるでしょう」,"The student council relied heavily on the personal power of Erena Seidō, so her actions will be limited for some time."""
,,,
Dialog.Chapter4-1-10,,「今クローンや怪人等の戦力を増強すれば、武力で学園の聖核戦姫を制圧することも不可能ではありません」,"If we now increase our forces of clones, monsters, etc., it is not impossible for us to subdue the school's Seikaku Princess by force of arms."""
,,,
Dialog.Chapter4-1-11,,「清藤エレナは財閥の生まれで政界、財界にコネクションがあります。上手く利用すれば彼らも利用できるでしょう」,"Erena Seidō was born into a zaibatsu and has connections in the political and business worlds. If we use her well, we will be able to take advantage of them."""
,,,
Dialog.Chapter4-1-11(1),選択肢,「ご苦労。引き続き生徒会の動向を探ってくれ」,"Thank you for your time. Keep me posted on what the student council is up to."""
,,,
Dialog.Chapter4-1-12,005号,「了解しました。引き続き潜入を継続します」,We will continue to infiltrate. We will continue to infiltrate.
,,,
,,,
,,,
Dialog.Chapter4-1-12(1),選択肢,絶望的な状況だったが、これで少しは落ち着いたか……,"It was a hopeless situation, but now things have calmed down a bit: ......"
,,,
Dialog.Chapter4-1-13,,その時、モニターに連絡が入る,"At that point, the monitor is contacted."
,,,
Dialog.Chapter4-1-14,戦闘員(通信),「連絡します！現在アジトの制御システムがサイバー攻撃を受けています！」,"Contact! The control system of our hideout is currently under cyber attack!"""
,,,
Dialog.Chapter4-1-14(1),選択肢,……被害の状況は？,...... What is the status of the damage?
,,,
Dialog.Chapter4-1-15,戦闘員(通信),「アジト内の第7区域で停電！、防衛用トラップが誤作動を起こしています！」,"Power outage in Area 7 inside the hideout! The defensive traps are malfunctioning!"""
,,,
Dialog.Chapter4-1-15(1),選択肢,了解した。今復旧させる,Understood. We'll get it back up now.
,,,
Dialog.Chapter4-1-16,黒→背景通路,その時、別の戦闘員から新たな連絡が入る,"At that moment, a new call comes in from another fighter."
,,,
Dialog.Chapter4-1-17,戦闘員2(通信),「連絡！アジト内の第3区域がハッキングされました！笑気ガスが漏れて戦闘員複数名が行動不能状態に！」,"Contact! Area 3 in the hideout has been hacked! Several fighters have been rendered inoperable by a laughing gas leak!"""
,,,
Dialog.Chapter4-1-18,戦闘員3(通信),「連絡します！第4区域で隔壁が勝手に閉まり、戦闘員およびクローン兵が計20名ほど閉じ込められました！」,"""Attention! A bulkhead has closed on its own in sector 4, trapping a total of about 20 combatants and clone soldiers!"
,,,
Dialog.Chapter4-1-19,戦闘員4(通信),「連絡！第10区域でも―――――――――」,"Contact! Also in District 10: ―――――――――"""
,,,
Dialog.Chapter4-1-20,,(……………),(...............)
,,,
Dialog.Chapter4-1-21,,(これだけ秘匿性が高くセキュリティの強い財団地下アジトにサイバー攻撃だと？),"(A cyber attack on the Foundation's underground hideout, which is so secretive and secure?)"
,,,
Dialog.Chapter4-1-22,,(現在聖月生徒会は麻痺していてこんな事は出来ないはず。どこかの組織が…？),(Currently the Holy Moon Student Council is paralyzed and should not be able to do this. Some organization...?)
,,,
Dialog.Chapter4-1-23,,その時、新たに連絡が入る,Then a new call comes in.
,,,
Dialog.Chapter4-1-24,戦闘員,「連絡します！サイバー攻撃の首謀者と見られる人物から連絡が！そちらにつないでもよろしいでしょうか！」,'Contact! We've been contacted by the person we believe to be the mastermind of the cyber attack! May I put you through?
,,,
Dialog.Chapter4-1-24(1),選択肢,構わない。つないでくれ,I don't care. Just plug it in.
,,,
Dialog.Chapter4-1-25,京(通信),そしてホログラムに一人の少女の姿が映し出される,Then a hologram shows the image of a girl.
,,,
Dialog.Chapter4-1-26,猫宮京(通信),「あ～聞こえてる？」,"""Oh, can you hear me?"""
,,,
Dialog.Chapter4-1-27,,「そっちの一番深い所は電波が届きにくいし……セキュリティが硬くて入れなかったんだよね」,"""The deepest part over there is hard to get a signal, and ...... security was so rigid that I couldn't get in."""
,,,
Dialog.Chapter4-1-28,,「………こっちの要求は単純。誘拐した聖核戦姫を全員解放する事」,"......... Our demands are simple. Release all the kidnapped Seikaku Princesses."""
,,,
Dialog.Chapter4-1-29,,「誘拐したのは多分3人かな？学園にスパイが混じってるっぽいし…」,"""Maybe it was three people who kidnapped him? It seems like there are spies mixed in with the academy..."""
,,,
Dialog.Chapter4-1-30,,「どうやってエレナ先輩を捕まえたのか知らないけど…、あなた達のことは私もちょっと見くびっていたかもね」,"I don't know how you caught Erena senior...but I may have underestimated you guys a bit myself."""
,,,
Dialog.Chapter4-1-31,,「というわけで、誘拐した聖核戦姫の子達を全員解放するまで攻撃を続けるから。覚悟してね？」,"So, I will continue to attack you until you release all the kidnapped children of the Seikaku Princesses. You must be prepared for that, okay?"""
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Chapter 4-2,注釈,,
Dialog.Chapter4-2-1,,―――財団地下アジトにて,――― in the underground hideout of the foundation
,,,
Dialog.Chapter4-2-2,,アジトには猫宮京によるサイバー攻撃が続いていた,Cyber attacks by Nekomiya Kei continued at the hideout.
,,,
